id,hop,num_steps,AD_QHD,AD_QSA,QSA_slope,AD_CRD,CRD_cov_first,CRD_cov_last
2hop__80539_75679,2,2,0.0,0.0,0.08513349294662499,0.0,0.5454545454545454,0.8181818181818182
2hop__146996_211364,2,2,0.0,0.0,0.07097047567367558,0.0,0.42857142857142855,1.0
2hop__93786_85298,2,2,0.0,0.021327912807464183,-0.021327912807464183,0.0,0.3333333333333333,0.3333333333333333
2hop__839424_160978,2,2,0.0,0.48898723721504167,-0.48898723721504167,0.16666666666666669,0.5,0.3333333333333333
2hop__93786_91983,2,2,0.0,0.0,0.05164694786071792,0.1111111111111111,0.3333333333333333,0.2222222222222222
2hop__128489_6862,2,2,0.0,0.13016790151596042,-0.13016790151596042,0.25,0.625,0.375
2hop__129019_11396,2,3,0.1441270098578632,0.0,0.14811164140701272,0.0,0.375,0.5
2hop__175586_30581,2,2,0.0,0.04107648134231542,-0.04107648134231542,0.0,0.4,0.5
2hop__76105_23235,2,2,0.0,0.0,0.05300879478454599,0.5,0.625,0.125
2hop__467463_140822,2,2,0.0,0.009221673011779407,-0.009221673011779407,0.10000000000000003,0.4,0.3
2hop__790184_11125,2,2,0.0,0.0,0.014048457145690965,0.14285714285714285,0.5714285714285714,0.42857142857142855
2hop__351594_63963,2,2,0.0,0.043878078460693096,-0.043878078460693096,0.0,0.5,0.5
2hop__65069_90450,2,2,0.0,0.12365227937698327,-0.12365227937698327,0.0,0.5,0.5
2hop__216615_579740,2,2,0.0,0.39453423023223827,-0.39453423023223827,0.0,0.6,0.6
2hop__54638_5418,2,2,0.0,0.31432533264160106,-0.31432533264160106,0.4444444444444445,0.5555555555555556,0.1111111111111111
2hop__104627_82538,2,2,0.0,0.0,0.0018358826637269036,0.0,0.5,0.5
2hop__480079_579740,2,2,0.011900485152239515,0.6491419672965998,-0.6491419672965998,0.25,0.75,0.5
2hop__466885_806786,2,2,0.0,0.6231646835803979,-0.6231646835803979,0.39999999999999997,0.6,0.2
2hop__406366_18221,2,3,0.28013980108501557,0.12013486027717601,-0.12013486027717601,0.0,0.375,0.375
2hop__348885_2702,2,2,0.0,0.03665328025817857,-0.03665328025817857,0.0,0.375,0.375
2hop__147386_42277,2,2,0.0,0.23880535364150973,-0.23880535364150973,0.0,0.2857142857142857,0.42857142857142855
2hop__74369_13735,2,2,0.08298544825308829,0.19636893272399866,-0.19636893272399866,0.25,0.75,0.5
2hop__49676_90382,2,2,0.0,0.0953220129013059,-0.0953220129013059,0.5,0.75,0.25
2hop__149964_432788,2,2,0.0,0.21779322624206512,-0.21779322624206512,0.0,0.6,0.6
2hop__92768_378383,2,3,0.3202213897935895,0.11531659960746782,-0.11531659960746782,0.25,0.5,0.25
2hop__251005_8600,2,2,0.0,0.0,0.2924480438232423,0.0,0.3333333333333333,0.6666666666666666
2hop__577934_160012,2,4,0.055684387127024504,0.0,0.011166208982467793,0.0,0.42857142857142855,0.5714285714285714
2hop__26988_5348,2,2,0.0,0.0,0.03177160024642981,0.0,0.5,0.625
2hop__726097_493912,2,2,0.0,0.43174514174461315,-0.43174514174461315,0.19999999999999996,0.6,0.4
2hop__695531_92444,2,2,0.0,0.17377936840057343,-0.17377936840057343,0.19999999999999996,0.6,0.4
2hop__487591_7606,2,3,0.4876245196723473,0.1421567201614381,-0.1421567201614381,0.0,0.3333333333333333,0.5555555555555556
2hop__30074_120034,2,2,0.0,0.0,0.0534328222274782,0.0,0.5,0.5
2hop__590408_88957,2,2,0.0,0.0,0.17086452245712286,0.0,0.2727272727272727,0.45454545454545453
2hop__28239_80319,2,2,0.0,0.09099662303924534,-0.09099662303924534,0.4444444444444444,0.8888888888888888,0.4444444444444444
2hop__154224_727337,2,2,0.0,0.3553673028945916,-0.3553673028945916,0.5,0.8333333333333334,0.3333333333333333
2hop__159529_44959,2,3,0.512390336294019,0.22296319901943215,-0.22296319901943215,0.5454545454545454,0.7272727272727273,0.18181818181818182
2hop__451420_556534,2,3,0.4603106333477909,0.17865929007530232,-0.17865929007530232,0.39999999999999997,0.6,0.2
2hop__169583_83854,2,2,0.0,0.36156862974166804,-0.36156862974166804,0.6666666666666666,0.6666666666666666,0.0
2hop__108843_161698,2,2,0.0,0.45939952135085993,-0.45939952135085993,0.5,0.75,0.25
2hop__143095_76347,2,2,0.0,0.1502483487129209,-0.1502483487129209,0.375,0.75,0.375
2hop__445228_774871,2,3,0.7025030901815074,0.36088699847459815,-0.36088699847459815,0.6000000000000001,0.8,0.2
2hop__573073_53910,2,4,0.20167573465124566,0.0,0.0564250051975251,0.0,0.3,0.8
2hop__157490_4697,2,3,0.0,0.01324984431266794,-0.01324984431266794,0.0,0.5,0.625
2hop__68999_11179,2,2,0.0,0.34050261974334656,-0.34050261974334656,0.5,0.75,0.25
2hop__60470_181429,2,2,0.0,0.5473540425300593,-0.5473540425300593,0.75,0.75,0.0
2hop__743064_48335,2,2,0.0,0.057248711585998445,-0.057248711585998445,0.0,0.42857142857142855,0.42857142857142855
2hop__22148_22229,2,2,0.0,0.18877488374710064,-0.18877488374710064,0.19999999999999996,0.6,0.4
2hop__290964_8682,2,2,0.0,0.3125801086425777,-0.3125801086425777,0.19999999999999996,0.6,0.4
2hop__203888_37260,2,2,0.04787224768642295,0.12895536422729464,-0.12895536422729464,0.14285714285714285,0.2857142857142857,0.14285714285714285
2hop__102049_82538,2,4,0.23750480093644066,0.0,0.03949891924858099,0.0,0.25,0.375
2hop__104341_79217,2,2,0.0,0.38505345582962,-0.38505345582962,0.2222222222222222,0.4444444444444444,0.2222222222222222
2hop__851859_92444,2,2,0.0,0.16471266746520952,-0.16471266746520952,0.2,0.4,0.2
2hop__836_26537,2,2,0.0,0.24421083927154497,-0.24421083927154497,0.5,0.75,0.25
2hop__130701_55098,2,2,0.0,0.0,0.11845678091049196,0.14285714285714285,0.5714285714285714,0.42857142857142855
2hop__52817_57695,2,2,0.0,0.20951116085052457,-0.20951116085052457,0.25,0.5,0.25
2hop__811425_853000,2,2,0.0,0.2622411847114557,-0.2622411847114557,0.0,0.5714285714285714,0.5714285714285714
2hop__464469_378383,2,2,0.0,0.0,0.036628603935241734,0.25,0.5,0.25
2hop__109297_4681,2,2,0.0,0.0,0.05605864524841312,0.0,0.625,0.75
2hop__829136_131944,2,2,0.0,0.0,0.12075483798980723,0.0,0.3333333333333333,1.0
2hop__453087_91469,2,2,0.0,0.060972929000854235,-0.060972929000854235,0.0,0.5,1.0
2hop__603274_52667,2,3,0.0,0.0,0.03880235552787767,0.0,0.3333333333333333,0.6666666666666666
2hop__75364_26113,2,2,0.0,0.0,0.26523730158805836,0.0,0.375,0.5
2hop__145871_91206,2,2,0.0,0.11296272277831998,-0.11296272277831998,0.16666666666666669,0.5,0.3333333333333333
2hop__584324_160917,2,2,0.0,0.013820111751556069,-0.013820111751556069,0.0,0.4,0.5
2hop__347280_64689,2,2,0.0,0.4968437552452083,-0.4968437552452083,0.5,0.5,0.0
2hop__122981_86840,2,2,0.0,0.5975109934806819,-0.5975109934806819,0.39999999999999997,0.6,0.2
2hop__596558_853000,2,2,0.0,0.4222597479820246,-0.4222597479820246,0.16666666666666663,0.6666666666666666,0.5
2hop__393218_68117,2,2,0.03332288354781032,0.02696996927261347,-0.02696996927261347,0.14285714285714285,0.5714285714285714,0.42857142857142855
2hop__708581_55257,2,2,0.0,0.1018000841140743,-0.1018000841140743,0.0,0.5,0.5
2hop__763758_363912,2,2,0.0,0.11085718870162925,-0.11085718870162925,0.39999999999999997,0.6,0.2
2hop__617917_53910,2,2,0.0,0.17074018716812103,-0.17074018716812103,0.0,0.5555555555555556,0.5555555555555556
2hop__829942_55630,2,3,0.0,0.0012345016002656753,-0.0012345016002656753,0.0,0.4,0.4
2hop__13631_13640,2,2,0.0,0.0,0.12381768226623553,0.0,0.375,0.625
2hop__144404_70019,2,2,0.0,0.2928056716918941,-0.2928056716918941,0.3333333333333333,0.6666666666666666,0.3333333333333333
2hop__277677_83687,2,2,0.0,0.4636134803295131,-0.4636134803295131,0.625,0.75,0.125
2hop__844448_134827,2,2,0.0,0.35145768523216225,-0.35145768523216225,0.6000000000000001,0.8,0.2
2hop__85724_171545,2,2,0.0,0.15402591228485082,-0.15402591228485082,0.0,0.8,1.0
2hop__38754_25111,2,2,0.0,0.18026220798492387,-0.18026220798492387,0.09090909090909088,0.5454545454545454,0.45454545454545453
2hop__577948_542971,2,2,0.20342887457008196,0.0,0.0037409663200381063,0.0,0.38461538461538464,0.46153846153846156
2hop__186074_40786,2,2,0.0,0.0,0.13595300912857064,0.0,0.5714285714285714,0.8571428571428571
2hop__431_449,2,2,0.0,0.09642654657363871,-0.09642654657363871,0.0,0.625,0.75
2hop__145631_49870,2,2,0.0,0.0,0.13317239284515406,0.0,0.4,0.8
2hop__239401_608104,2,2,0.0,0.09230959415435774,-0.09230959415435774,0.0,0.5555555555555556,0.5555555555555556
2hop__445228_75878,2,2,0.0,0.05068594217300387,-0.05068594217300387,0.09999999999999998,0.5,0.4
2hop__660296_36180,2,2,0.0,0.0,0.2482865452766419,0.0,0.5,0.6666666666666666
2hop__121501_222887,2,1,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334
2hop__132812_120632,2,2,0.0,0.32172709703445385,-0.32172709703445385,0.4285714285714286,0.7142857142857143,0.2857142857142857
2hop__767045_160851,2,2,0.0,0.17921733856201152,-0.17921733856201152,0.0,0.4444444444444444,0.4444444444444444
2hop__240859_47878,2,2,0.0,0.0282520055770871,-0.0282520055770871,0.0,0.5,0.5
2hop__77119_20724,2,2,0.0,0.4114331901073452,-0.4114331901073452,0.6666666666666667,0.8333333333333334,0.16666666666666666
2hop__63539_93808,2,2,0.0,0.0,0.1547114253044129,0.0,0.375,0.5
2hop__313926_22238,2,3,0.0,0.0,0.08955341577529892,0.0,0.4,0.8
2hop__291597_89563,2,4,0.1583395951370497,0.0,0.03382860422134402,0.0,0.42857142857142855,0.42857142857142855
2hop__93172_34844,2,2,0.0,0.0,0.01580148935317999,0.0,0.4166666666666667,0.4166666666666667
2hop__783535_51612,2,2,0.0,0.1680307388305662,-0.1680307388305662,0.19999999999999996,0.6,0.4
2hop__791988_500443,2,2,0.0,0.34060406684875455,-0.34060406684875455,0.5,0.75,0.25
2hop__546404_229413,2,2,0.0,0.13080435991287204,-0.13080435991287204,0.11111111111111116,0.5555555555555556,0.4444444444444444
2hop__766294_22235,2,2,0.0,0.5116741061210627,-0.5116741061210627,0.39999999999999997,0.6,0.2
2hop__128817_704711,2,2,0.0,0.0,0.15149021148681652,0.0,0.3333333333333333,0.6666666666666666
